Item;Description;Quantity ;Unit price;Total Price;Source;Running Total ($ with Tax);Link
ESP-32 Devkit 38 pins;Dev board that will allow processing of telemetry, air-to-ground communication and autonomous operations based on vector operations;1;4,23;4,23;Aliexpress;5,03;"https://es.aliexpress.com/item/1005001838731651.html?spm=a2g0o.productlist.main.18.6aefAaMDAaMDfQ&algo_pvid=d139c637-1bda-40c7-91ef-705adb1c6616&algo_exp_id=d139c637-1bda-40c7-91ef-705adb1c6616-17&pdp_ext_f=%7B""order""%3A""36""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.34%213.34%21%21%213.34%213.34%21%4021033d9d17668726156532986ee92f%2112000030215458678%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895&curPageLogUid=kPFgvXo63lz3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001838731651%7C_p_origin_prod%3A"
PCA9685 Servomotor Driver;Servomotor driver that allows control of up to 16 servomotors using only 2 pins, mainly used to avoid using all the pins of the ESP32 and for more sophisticated control via binary control;1;1,2;1,2;Aliexpress;1,43;"https://es.aliexpress.com/item/1005010790150348.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.3.101dnTiZnTiZhu&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=1402e862-8566-486e-90f8-f426f7e59b77&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:1402e862-8566-486e-90f8-f426f7e59b77,tpp_buckets:668%232846%238116%232002&pdp_ext_f=%7B""order""%3A""7""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""sceneId""%3A""30050""%2C""fromPage""%3A""recommend""%7D&pdp_npi=6%40dis%21USD%218.09%211.20%21%21%2155.58%218.25%21%402101e07217707498748102094ee684%2112000053516946348%21rec%21CL%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836568&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005010790150348%7C_p_origin_prod%3A"
nRF24l01+PLA Module;"Radio module that allows medium-range air-to-ground communication without major interference; a PLA antenna is added to maximize range.";2;2,31;4,62;Aliexpress;5,5;"https://es.aliexpress.com/item/1005005392489486.html?spm=a2g0o.productlist.main.61.6d5a7b36oTXVMC&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005005392489486%7C_p_origin_prod%3A&algo_pvid=2a2ddc30-49a7-491e-a55d-5e63838ab23c&algo_exp_id=2a2ddc30-49a7-491e-a55d-5e63838ab23c&pdp_ext_f=%7B""order""%3A""6""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%212.11%212.11%21%21%212.11%212.11%21%402103274e17668729080428683e0e67%2112000032873703259%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895"
NEO6M GPS Module;GPS module that allows knowing the exact position of the aircraft along with its speed and altitude, key for both vector calculation and telemetry;1;2,33;2,33;Aliexpress;2,77;"https://es.aliexpress.com/item/1005009301460295.html?spm=a2g0o.productlist.main.2.6e7b546aTtN7q9&algo_pvid=cd9f6df0-bdd4-4e11-b4e6-43887aaf22cf&algo_exp_id=cd9f6df0-bdd4-4e11-b4e6-43887aaf22cf-1&pdp_ext_f=%7B""order""%3A""40""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%2112.94%212.58%21%21%2190.14%2118.00%21%402101eee917668729646036661ea8d4%2112000048669875233%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000187458941&curPageLogUid=0pwpEmsQtlzq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009301460295%7C_p_origin_prod%3A"
MP1584EN Module;The 3.3 Volt voltage regulator allows for the safe and continuous powering of sensitive modules such as the nrf24l01 directly from the VEC.;1;0,67;0,67;Aliexpress;0,8;"https://es.aliexpress.com/item/1005007510639297.html?spm=a2g0o.productlist.main.21.123749cdu2YQZl&algo_pvid=f33fe4d4-d1fa-41c5-9cda-1c24032493af&algo_exp_id=f33fe4d4-d1fa-41c5-9cda-1c24032493af-18&pdp_ext_f=%7B""order""%3A""53""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%210.69%210.69%21%21%210.69%210.69%21%402103110517668730162028434ee199%2112000041075639944%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895&curPageLogUid=SD7vrXFsh4I0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007510639297%7C_p_origin_prod%3A"
MPU-9250 Module;Magnetometer, gyroscope and accelerometer that will allow knowing the orientation and acceleration that the plane suffers in flight, also key for vector calculation thanks to being able to know the heading;1;2,31;2,31;Aliexpress;2,75;"https://es.aliexpress.com/item/1005008322380169.html?spm=a2g0o.detail.similar_items.23.4fffwHDwwHDwnb&utparam-url=scene%3Aimage_search%7Cquery_from%3Aapp_pdp_sold_out%7Cx_object_id%3A1005008322380169%7C_p_origin_prod%3A&algo_pvid=fdfd9366-7c6d-4045-8da2-403e80ece8be&algo_exp_id=fdfd9366-7c6d-4045-8da2-403e80ece8be&pdp_ext_f=%7B""order""%3A""158""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%212.41%212.31%21%21%2116.59%2115.90%21%40210328db17707765362651852ee1c4%2112000044605517157%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836524"
4 pcs MG90S Servomotor;Servomotors with metal gears that allow for high-performance and precise movement of control surfaces;2;7,26;14,52;Aliexpress;17,28;"https://es.aliexpress.com/item/1005006715645291.html?spm=a2g0o.productlist.main.18.5d56n8Bwn8Bwsa&aem_p4p_detail=202602101102283078647985834520003281418&algo_pvid=0b1c3c6d-d470-416c-b877-786d5eff05c7&algo_exp_id=0b1c3c6d-d470-416c-b877-786d5eff05c7-15&pdp_ext_f=%7B""order""%3A""1174""%2C""spu_best_type""%3A""order""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%217.86%217.26%21%21%2154.03%2149.91%21%402101eede17707501484135239e3e2c%2112000038078824012%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000197836533&curPageLogUid=1rzUYNGeA38j&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006715645291%7C_p_origin_prod%3A&search_p4p_id=202602101102283078647985834520003281418_4"
NEEBRC 3542 1000KV  2-4S Outrunner Brushless Motor for RC Fixed Wing Airplane;A brushless motor that generates thrust for the aircraft was chosen in this case due to the aircraft's dimensions.It includes ESC and VEC which allows control via a microcontroller and voltage regulation from the LiPo battery.;1;39,52;39,52;Aliexpress;47,03;
AERONAUT CAM CARBON LIGHT 11/5 CLOCKWISE CW Popeller;Light carbon propeller designed to generate the maximum amount of thrust efficiently;1;6,9;6,9;Lindinger;8,21;https://www.lindinger.at/en/AIRPLANES/ELECTRIC-POWERPLANTS/Propellers/Rigid-Propellers/AERONAUT-CAM-CARBON-LIGHT-11-5-CLOCKWISE-CW-Popeller/9709758
20pcs/lot nylon and tin-plated hinge board 12x24mm;Nylon hinges that allow free and controlled movement of the control surfaces;2;0,99;1,98;Aliexpress;2,36;"https://es.aliexpress.com/item/1005003378453697.html?spm=a2g0o.productlist.main.3.bd4ep9BYp9BYua&algo_pvid=ccdc4b03-4f7e-4354-9447-b0bb7d69212e&algo_exp_id=ccdc4b03-4f7e-4354-9447-b0bb7d69212e-2&pdp_ext_f=%7B""order""%3A""270""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%212.14%210.99%21%21%212.14%210.99%21%4021030a4b17668720604047323ed999%2112000025503609437%21sea%21CL%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aeb55f528%3Bm03_new_user%3A-29895%3BpisId%3A5000000187458941&curPageLogUid=IF5w2F3Gs84q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003378453697%7C_p_origin_prod%3A"
